"","GSM230349","GSM230350","GSM230351","GSM230352","GSM230353","GSM230354","GSM230355","GSM230356","GSM230357","GSM230358","GSM230359","GSM230360"
"ABAT",4.76452175731236,4.73377052908818,4.72783178312926,5.70043956457742,5.52892366922321,5.66417579805482,5.5881526540752,5.56684377232887,5.55480975714038,5.66797360346259,5.62708419321252,5.4836606539324
"ABCA1",6.31773280913533,6.52111915608127,6.47013378796227,6.25659370752304,6.19241109958359,6.26364061196184,6.11522071622768,6.06708275900097,5.97987809270061,5.88958600153616,6.07361353132398,6.24766432247047
"ABCA11P",3.63810998653266,3.39843666201891,3.8653914579966,3.9202698368544,3.90259687554854,3.75050339310215,3.6563290674641,3.69775536410364,3.99403863054214,3.81525581187227,3.83379335142365,3.80902769128992
"ABCA17P",1.93174275246373,2.14337134004358,2.1160181214747,2.00064895292815,2.20690529398086,2.18758478910394,2.13849111380984,2.26087523843447,2.16205225259455,2.51270277789852,2.14769488387887,2.11235520266165
"ABCA2",3.70751956753909,3.62981362175561,3.5624583652314,3.84596132560728,3.83481894587371,3.75581291521364,3.89658670676414,3.84559283244399,3.87497443809113,3.81464604422173,3.78623172615062,3.79625813749863
"ABCA3",3.97744522605792,4.27651492103699,3.93631880102088,3.82750902017787,4.14249466484408,4.04214641831517,3.96114626866131,4.0867928502509,3.71064534216379,3.98617362849579,4.00956099895191,3.9354387558417
"ABCA4",2.8759915535621,2.8902990265654,2.73460780715539,2.85890392611627,2.72347028713054,2.94480690127634,2.66737881372323,2.55850844105172,2.77056294724712,2.83742204618382,2.64901121774265,2.74630372999079
"ABCA5",3.05312354134155,2.96641001773199,3.20327430275851,2.6771056193465,2.92225529660486,2.99097234097885,2.84245596727057,2.86978862346279,2.9081808851537,3.09548558131781,2.91775978395733,3.05264926223193
"ABCA6",1.86353493782083,2.11671810554316,2.05680598497611,1.92809271027225,1.99817358144302,1.93014842568691,2.23005885927004,2.13963446847846,1.97869395137524,2.25603340235519,1.99655059742507,1.93505210879668
"ABCA7",3.49472618638902,3.46917544400032,3.56257057258603,4.36647826920784,3.95195088786491,4.12794255231652,4.15991201967394,3.90585160564927,4.3617364699166,4.02653535667584,4.08253684435922,3.87071645429976
"ABCA8",2.06062075984227,1.89469865298197,2.10899308299461,1.9918208552691,1.90715595240629,2.13452627572639,2.17070784486422,2.14945071739909,1.96307748835433,1.95191874106793,1.89107991930529,1.97013059919823
"ABCA9",1.81244933877928,1.9833701971453,1.92844511741191,1.81603717834014,1.88770509347637,1.94880758056035,1.92702595675346,1.80940775951842,1.75747989862068,1.98528263849909,1.92574204648601,1.78411071495475
"ABCB1",2.66468822997906,2.53424298533963,2.47676810063896,2.80436672968095,2.88883342919739,2.80585875552739,2.49263867020509,2.85711501944181,2.81384346869414,2.89287102205462,2.65167290950479,2.68350191808302
"ABCB10",7.68685691749665,7.43388151561589,7.57040650925098,7.61820494527563,7.32309916407026,7.28016709663317,7.28803650185528,7.57857419921024,7.72799833192589,7.49249602386639,7.22619672048688,7.23525336434503
"ABCB11",2.24238116190062,2.394047478784,2.26907203228361,2.23303069794023,2.43601250309445,2.28629687132177,2.28321212235353,2.46946672142575,2.31332913063765,2.13987954428512,2.28601316666715,2.1435452347669
"ABCB4",3.17413836221194,3.12048234581433,3.19065695126176,3.2423838317085,3.19525485665379,3.00724721582992,3.36277335103405,3.24023484714157,3.07142451752343,3.31246363823022,3.20339779379826,3.3157595333858
"ABCB5",2.2289814606722,2.31730972723353,2.21292895364136,2.32297025733698,2.31594147582609,2.36235894561117,2.26214536985867,2.43854465749374,2.23128780288522,2.27221472875616,2.16870583493901,2.27907427600716
"ABCB6",3.23852749736047,3.24559743856598,3.21175038732578,3.20237966118647,2.99724094855383,3.46936881667054,3.21050422043743,3.07959393393985,3.18572384310959,3.32247417028846,3.38983720019859,3.18610884633729
"ABCB7",6.33893890404624,6.15658242851821,6.42615335708804,6.35899141480599,6.25805376259976,6.29459778920062,6.33594285849195,6.19033731061006,6.16639632388454,6.44766088091097,6.27929523104838,6.08782460896552
"ABCB8",3.53510688346604,3.3844709672938,3.38188048114305,3.51416086805794,3.33725794975323,3.48401990007114,3.48206265321781,3.47011468373027,3.58771262756801,3.48052587444452,3.4797375587507,3.34933600184498
"ABCB9",2.96601106916814,3.00699783936896,3.04800281300025,3.12297192934804,3.1378712839649,3.18860457603341,3.16876801176881,3.10586052643991,3.08755993225314,3.21857781662278,3.20124231242546,3.33203192625891
"ABCC1",7.49912297883138,7.18928546736837,7.36520840542923,6.780292055429,6.95151481931201,6.85024191530191,6.81190709601387,7.0773468746213,6.76523841590132,6.90516954062502,7.02524689219713,6.71339468249743
"ABCC10",6.10223438507788,5.78651120058628,6.08384346710033,6.18146282656635,5.9575549580341,6.085681159279,6.0538948122596,5.989748200803,6.12845339136735,6.07686702838968,6.11244901920622,6.00662961165908
"ABCC11",2.62766339110313,2.80236109455859,2.66414053568992,2.88872131033243,2.75693344711626,2.76679045951939,2.76610310173323,2.74264015465792,2.64284041984908,2.59073046815364,2.78605972433822,2.80032969589823
"ABCC12",2.08156200736338,2.17339557886031,2.11802599587296,2.16764398025513,2.30983154736211,2.14229270718059,2.20025469080375,2.28047328086884,2.0936036598384,2.13273338831191,2.52301106463976,2.23935657933305
"ABCC13",2.10396839024608,2.1717139065939,2.09904680170811,2.16508908756507,2.1079918612711,2.21285948704989,2.147006909584,2.14765233788106,2.22833731762714,2.11137766383283,2.10896856140661,2.22130234468101
"ABCC2",1.99238109397979,2.13069728142306,2.19374985404607,2.19762557619489,2.13512399336504,2.21717835935064,2.23789286200466,2.25714986796124,2.10587287472499,2.03184510878057,2.13512399336504,2.43996533879038
"ABCC3",6.38671130857158,6.4336615673873,6.47279713223286,6.3160039361229,6.29849041524951,6.2572317790254,6.21533332290805,6.31236126703587,6.32293572180287,6.35418891983412,6.37761174612552,6.34704831939622
"ABCC4",2.92008252560452,2.78993627120235,2.91547792916638,2.55601092822824,2.71804885129656,2.74735772090299,2.75617458235975,2.83120210395375,2.84023737688182,2.67622735593566,2.77968779374886,2.53830278069206
"ABCC5",3.44013643098514,3.45343899156636,3.25429221398797,3.88949142423716,3.90524650856042,3.62770526409842,3.66241299732685,3.84360214045317,3.75704366726392,3.71161069600231,3.66098143240431,3.74984857996014
"ABCC6",5.62182533869974,5.50072511603962,5.63944341620156,6.26878188103508,6.10001354513688,5.97769866885043,6.04314914034228,6.09487955558141,6.1598116808381,6.24250218519771,6.28009568738466,6.17358892742177
"ABCC6P1",2.28046568640959,2.27549086859515,2.30999624556057,2.34720119771098,2.28160893733682,2.3704523651347,2.41597079059579,2.38625688630731,2.44247621314325,2.18270677758754,2.28046568640959,2.29523096598508
"ABCC8",2.71455471984014,2.7190868833924,2.89097163089138,2.77413488885932,2.91542829452061,3.03800634713686,2.9076200168856,2.86106960234487,2.808514384468,2.72305255343647,2.6635616459781,2.70330161945702
"ABCC9",2.29129982205914,2.2344262382888,2.26648043297976,2.27257286317593,2.29803761184524,2.26834078020685,2.4260110708366,2.20090592737706,2.37026942799886,2.34956647484117,2.39131352178297,2.32411392766876
"ABCD1",5.80745434581752,5.49683918264858,5.43667447302243,5.36876462345823,5.49199011695167,5.65706125451046,5.60034900033663,5.57487966894725,5.64550628988542,5.45684489216247,5.52010235011145,5.39758342489661
"ABCD3",6.75021405817308,6.72523878753628,6.84784674910322,6.6947388207937,6.88496864107849,6.54538902767797,6.49464496726258,6.96469862919875,6.84466537655851,6.71826320325085,6.58472397235923,6.56053224221462
"ABCD4",4.80924395481776,4.8384121005793,4.7636563033434,5.07628131048445,5.15840382910272,4.83432868379724,4.84388392727162,4.89346849850227,5.22586044951561,4.89351630639204,4.8604064177552,4.83561955166785
"ABCE1",7.46752243354604,7.26786052518109,7.36258689721502,6.71383159154004,6.75483741489917,6.67042181578712,6.74569357355223,6.94611017930063,7.00609107910774,6.93704514455743,6.71170155521259,6.61434694666909
"ABCF1",6.60980775445937,6.35231820888646,6.45854468263956,6.25696612537119,6.03118573401578,6.00375015369825,6.14959102678185,6.10256743206594,6.03874932521159,6.33301723897137,6.20138268650194,6.12443810180695
"ABCF2",4.58564235472325,4.49980647376409,4.4011246524307,4.53177072456117,4.33957360767908,4.34648904429663,4.18266386105574,4.36726132974087,4.39123929744351,4.15223259529794,4.26738117927957,4.42754421687478
"ABCF2-H2BK1",4.33713009166281,4.28547223884815,4.3328135450509,4.45570879198567,4.21846902228916,4.1885659090131,4.16525929840092,4.13570884792253,4.27052767249451,4.34639969615896,4.32624162404446,4.23532767686907
"ABCF3",5.70966235350365,5.24457022271903,5.64602782616247,5.84371477624224,5.78503468329178,5.67066932971594,5.75008295475804,5.7994471916759,5.49724020750803,5.96233030372215,6.00473115370551,5.62855449000019
"ABCG1",4.99637932456835,4.85802771562832,5.0055099452028,2.9824268514678,2.86316578581741,2.9958406087056,2.98873516542894,3.01931009494962,3.26810287792801,2.97902649779863,2.97840369600416,2.88464998212886
"ABCG2",2.61036414392756,2.5498806340865,2.40530934491172,2.71963557745249,2.68146574046921,2.64040230423403,2.61687065832463,2.60297951188414,2.90389948733919,2.57049509598718,2.63582897186748,2.85691442544376
"ABCG4",3.95951903710983,3.90369123453374,4.06098495030348,3.96890774138281,3.79960679607838,4.12113198006159,4.1506456852137,4.03066160711777,4.01905541489008,3.98222121755613,4.00301696454269,4.15400248990891
"ABCG5",2.37097762469072,2.5189219794072,2.186264054993,2.25532339224028,2.2731440674433,2.53147978779777,2.43379416982867,2.30866008288487,2.44630025986505,2.20658270858102,2.30559830218512,2.60415498839658
"ABCG8",2.53148482540059,2.73026628075733,2.53148482540059,2.53148482540059,2.54686568506474,2.53148482540059,2.59114813241059,2.38713115570978,2.33340225700486,2.39340091343135,2.60001630041696,2.4197820177155
"ABHD1",2.5235032712207,2.4820912253528,2.34504160414434,2.50431372792305,2.54863050252718,2.61737103947547,2.69129680152091,2.53146628361489,2.53976572628744,2.33599401150453,2.52203651337589,2.55010628441354
