tau,pi0,effect_size,method,bFDR,FDR,Power
0.3,0.99,3.5,t-test,0.08,0.09166666666666666,0.19
0.3,0.99,3.5,Oracle,0.09,0.08583333333333332,0.4
0.3,0.99,3.5,Data-driven,0.05,0.04583333333333333,0.38
0.3,0.99,3.5,Weighted,0.09,0.07133333333333333,0.29
0.3,0.99,3.5,E-weighted,0.09,0.07133333333333333,0.29
0.3,0.99,5.0,t-test,0.12,0.07166666666666666,0.575
0.3,0.99,5.0,Oracle,0.09,0.045,0.865
0.3,0.99,5.0,Data-driven,0.03,0.019999999999999997,0.835
0.3,0.99,5.0,Weighted,0.11,0.06666666666666667,0.675
0.3,0.99,5.0,E-weighted,0.11,0.06666666666666667,0.68
0.3,0.99,6.5,t-test,0.1,0.05333333333333333,0.81
0.3,0.99,6.5,Oracle,0.18,0.0743333333333333,0.995
0.3,0.99,6.5,Data-driven,0.04,0.016666666666666666,0.98
0.3,0.99,6.5,Weighted,0.11,0.044333333333333336,0.93
0.3,0.99,6.5,E-weighted,0.12,0.04766666666666666,0.935
0.3,0.99,8.0,t-test,0.08,0.035,0.95
0.3,0.99,8.0,Oracle,0.08,0.03,1.0
0.3,0.99,8.0,Data-driven,0.03,0.01,0.995
0.3,0.99,8.0,Weighted,0.07,0.028333333333333335,0.995
0.3,0.99,8.0,E-weighted,0.08,0.03,0.995
